x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
237,-0.0354,0.0354,0.9945,0.1312,0.0525,0.175,stationary_z_up
238,-0.0353,0.034,0.9943,0.2013,0.0262,0.2975,stationary_z_up
239,-0.0354,0.0337,0.9928,0.1575,0.175,0.2362,stationary_z_up
240,-0.0359,0.0337,0.9929,0.1225,-0.0525,0.2275,stationary_z_up
241,-0.0347,0.0346,0.9928,0.1663,0.0525,0.2362,stationary_z_up
242,-0.0368,0.0342,0.9929,0.1663,0.0437,0.2362,stationary_z_up
243,-0.0349,0.0343,0.995,0.21,0.0088,0.245,stationary_z_up
244,-0.0349,0.0346,0.9933,0.21,0.0787,0.245,stationary_z_up
245,-0.0352,0.0349,0.9944,0.1488,0.0525,0.2713,stationary_z_up
246,-0.0351,0.0342,0.9936,0.1925,-0.0175,0.2188,stationary_z_up
247,-0.0351,0.0352,0.9928,0.28,0.1663,0.175,stationary_z_up
248,-0.0349,0.0342,0.9928,0.21,0.07,0.3413,stationary_z_up
249,-0.0364,0.035,0.9938,0.1225,0.07,0.21,stationary_z_up
250,-0.035,0.0343,0.9951,0.0262,0.2188,0.245,stationary_z_up
251,-0.0344,0.0337,0.9946,0.14,0.105,0.21,stationary_z_up
252,-0.0351,0.0347,0.9929,0.21,0.0525,0.175,stationary_z_up
253,-0.0361,0.0339,0.9931,0.1225,0.035,0.1838,stationary_z_up
254,-0.0354,0.0339,0.9946,0.1488,0.1138,0.175,stationary_z_up
255,-0.0356,0.0334,0.9936,0.2275,0.1225,0.2188,stationary_z_up
256,-0.0363,0.0335,0.9931,0.1488,0.0962,0.1575,stationary_z_up
257,-0.0356,0.0323,0.9926,0.1138,0.0525,0.175,stationary_z_up
258,-0.0361,0.0332,0.9933,0.1575,0.0175,0.2625,stationary_z_up
259,-0.0349,0.035,0.9948,0.21,0.0088,0.2275,stationary_z_up
260,-0.0347,0.0335,0.9934,0.1312,0.0525,0.2537,stationary_z_up
261,-0.0352,0.0347,0.9933,0.245,0,0.245,stationary_z_up
262,-0.0347,0.0337,0.9919,0.175,0.0962,0.2625,stationary_z_up
263,-0.0356,0.034,0.9955,0.1838,0.035,0.1925,stationary_z_up
264,-0.0356,0.0346,0.9926,0.2362,0.0875,0.2713,stationary_z_up
265,-0.0348,0.0339,0.9933,0.1488,0.0437,0.2188,stationary_z_up
266,-0.0359,0.0336,0.9935,0.1925,0.0962,0.2013,stationary_z_up
267,-0.0344,0.0344,0.9927,0.105,0.0613,0.245,stationary_z_up
268,-0.0364,0.0337,0.9953,0.1663,0.0613,0.1925,stationary_z_up
269,-0.0359,0.0354,0.9945,0.2188,0.14,0.245,stationary_z_up
